73,5,69
0,73,68
7,74,69
11,75,71
5,6,69
6,7,69
59,6,5
4,5,73
74,9,71
0,1,73
1,2,73
1,31,2
7,8,74
8,9,74
75,16,70
16,25,70
17,1,0
31,48,2
48,59,5
4,48,5
56,10,9
10,11,71
9,10,71
10,55,11
55,10,56
58,8,7
58,59,67
6,58,7
59,58,6
8,57,9
57,56,9
58,57,8
14,15,75
15,16,75
72,18,68
18,0,68
18,17,0
23,20,72
48,3,2
3,48,4
2,3,73
3,4,73
49,48,31
11,12,75
16,26,25
21,39,20
20,19,72
19,18,72
36,31,1
36,41,31
17,36,1
18,36,17
22,21,20
23,22,20
48,60,59
60,49,59
49,60,48
13,14,75
12,13,75
50,49,31
57,66,56
66,58,67
66,57,58
65,55,56
66,65,56
24,23,72
24,72,70
25,24,70
41,40,31
40,39,31
22,27,21
39,27,28
27,39,21
29,30,31
29,39,28
39,29,31
44,24,25
35,15,14
29,35,30
50,61,49
59,61,67
49,61,59
65,63,55
39,38,20
40,38,39
38,19,20
43,22,23
24,43,23
44,43,24
35,53,52
63,53,55
53,63,52
15,45,16
45,26,16
26,45,25
45,44,25
51,33,52
33,51,50
63,51,52
51,61,50
35,34,30
34,33,30
34,35,52
33,34,52
32,50,31
32,33,50
30,32,31
33,32,30
38,37,19
36,37,41
37,40,41
37,38,40
19,37,18
37,36,18
55,54,11
54,12,11
54,13,12
13,54,14
54,35,14
54,53,35
47,43,44
62,51,63
62,65,66
62,63,65
51,62,61
62,66,67
61,62,67
53,64,55
64,54,55
54,64,53
47,46,35
35,46,15
46,45,15
45,46,44
46,47,44
42,35,29
42,47,35
42,29,28
27,42,28
47,42,43
42,27,22
43,42,22
