184,262
189,294
194,324
200,354
212,382
232,405
257,424
284,439
315,442
346,436
373,417
396,397
414,370
422,339
423,306
423,274
423,242
201,243
210,221
231,211
256,208
280,212
315,209
338,200
362,199
385,207
397,226
298,234
298,255
299,275
300,297
275,309
289,314
304,318
319,312
332,306
230,246
241,237
255,236
268,243
256,246
242,247
327,239
339,228
353,227
366,234
355,237
341,238
259,351
277,344
293,341
308,343
322,339
342,340
364,343
345,359
326,366
311,368
296,368
278,363
266,351
294,347
308,348
323,345
357,344
324,355
310,357
295,356
0,0
0,719
559,0
559,719
280,0
0,360
280,719
559,360
