149,234
152,271
155,308
163,344
175,378
194,410
219,436
248,457
284,463
321,456
350,434
377,405
399,373
410,340
416,305
419,271
421,237
177,222
194,203
219,194
246,194
271,202
309,201
333,192
359,192
383,201
397,220
290,224
290,247
289,270
289,294
254,307
271,311
289,315
307,310
324,306
209,231
224,224
238,223
254,231
238,233
223,233
326,231
341,222
356,223
371,230
356,232
341,232
219,349
242,339
269,336
289,339
308,335
334,336
356,344
334,371
309,385
289,388
269,387
242,375
225,350
269,345
289,347
308,344
350,346
309,369
289,372
269,370
0,0
0,719
559,0
559,719
280,0
0,360
280,719
559,360
